title,genre,budget,year,month
I Spy,Action,70000000,2002,10
Underworld: Awakening,Fantasy,70000000,2012,1
Rock of Ages,Comedy,75000000,2012,6
Hart's War,Drama,70000000,2002,2
Killer Elite,Action,66000000,2011,9
Rollerball,Action,0,2002,2
Ballistic: Ecks vs. Sever,Action,70000000,2002,9
Hard Rain,Thriller,70000000,1998,1
Osmosis Jones,Adventure,75000000,2001,8
Legends of Oz: Dorothy's Return,Animation,70000000,2013,6
Blackhat,Crime,70000000,2015,1
Sky Captain and the World of Tomorrow,,70000000,2004,9
Basic Instinct 2,Crime,70000000,2006,3
Escape Plan,Action,50000000,2013,10
The Legend of Hercules,Action,70000000,2014,1
The Sum of All Fears,Thriller,68000000,2002,5
The Twilight Saga: Eclipse,Adventure,68000000,2010,6
The Score,Action,68000000,2001,7
Despicable Me,Animation,69000000,2010,7
Money Train,Action,60000000,1995,11
Ted 2,Comedy,68000000,2015,6
Agora,Adventure,70000000,2009,5
Mystery Men,Adventure,68000000,1999,8
Hall Pass,Comedy,36000000,2011,2
The Insider,Drama,90000000,1999,10
The Finest Hours,Action,80000000,2016,1
